x,y,z,theta,omega,Distance
0.0,0.0,204.0,0.0,0.0,108.0
-0.0,0.0,108.0,0.0,0.0,124.0
0.0,0.0,433.0,0.0,0.017,459.0
0.0,0.0,124.0,0.0,0.157,371.0
-0.0,0.0,122.0,0.0,0.209,232.0
-0.0,0.0,459.0,0.0,0.279,119.0
0.0,0.0,117.0,0.0,0.367,191.0
-0.0,0.0,371.0,0.0,0.401,166.0
0.0,0.0,234.0,0.0,0.559,171.0
-0.0,0.0,232.0,0.0,0.593,159.0
-0.0,0.0,119.0,0.0,0.611,148.0
0.0,0.0,119.0,0.0,0.646,144.0
0.0,0.0,120.0,0.0,0.681,142.0
0.0,0.0,191.0,0.0,0.75,139.0
-0.0,0.0,124.0,0.0,0.75,138.0
0.0,0.0,166.0,0.0,0.838,133.0
-0.0,0.0,129.0,0.0,0.838,133.0
0.0,0.0,171.0,0.0,0.873,176.0
0.0,0.0,133.0,0.0,0.908,130.0
0.0,0.0,159.0,0.0,0.925,130.0
0.0,0.0,158.0,0.0,0.96,129.0
0.0,0.0,148.0,0.0,1.03,128.0
-0.0,0.0,147.0,0.0,1.065,126.0
-0.0,0.0,144.0,0.0,1.082,129.0
0.0,0.0,147.0,0.0,1.082,128.0
-0.0,0.0,142.0,0.0,1.117,127.0
-0.0,0.0,151.0,0.0,1.117,126.0
0.0,0.0,139.0,0.0,1.152,126.0
-0.0,0.0,156.0,0.0,1.152,127.0
0.0,0.0,138.0,0.0,1.187,127.0
0.0,0.0,159.0,0.0,1.187,126.0
-0.0,0.0,133.0,0.0,1.222,128.0
0.0,0.0,166.0,0.0,1.222,126.0
0.0,0.0,133.0,0.0,1.239,128.0
0.0,0.0,131.0,0.0,1.274,129.0
0.0,0.0,176.0,0.0,1.274,132.0
-0.0,0.0,128.0,0.0,1.309,133.0
0.0,0.0,130.0,0.0,1.344,129.0
0.0,0.0,187.0,0.0,1.344,137.0
0.0,0.0,130.0,0.0,1.379,131.0
-0.0,0.0,193.0,0.0,1.379,133.0
-0.0,0.0,129.0,0.0,1.414,136.0
0.0,0.0,195.0,0.0,1.414,140.0
-0.0,0.0,128.0,0.0,1.431,420.0
-0.0,0.0,197.0,0.0,1.431,147.0
0.0,0.0,126.0,0.0,1.466,144.0
-0.0,0.0,214.0,0.0,1.466,419.0
0.0,0.0,129.0,0.0,1.501,416.0
0.0,0.0,215.0,0.0,1.501,420.0
-0.0,0.0,128.0,0.0,1.536,420.0
0.0,0.0,231.0,0.0,1.536,422.0
0.0,0.0,127.0,0.0,1.571,176.0
-0.0,0.0,241.0,0.0,1.571,0.0
-0.0,0.0,126.0,0.0,1.588,182.0
0.0,0.0,243.0,0.0,1.588,0.0
0.0,0.0,126.0,0.0,1.623,164.0
-0.0,0.0,258.0,0.0,1.623,0.0
0.0,0.0,127.0,0.0,1.658,0.0
0.0,0.0,338.0,0.0,1.658,0.0
-0.0,0.0,127.0,0.0,1.693,0.0
0.0,0.0,364.0,0.0,1.693,0.0
0.0,0.0,126.0,0.0,1.728,0.0
-0.0,0.0,379.0,0.0,1.728,0.0
0.0,0.0,128.0,0.0,1.745,0.0
0.0,0.0,393.0,0.0,1.745,0.0
-0.0,0.0,126.0,0.0,1.78,0.0
0.0,0.0,416.0,0.0,1.78,0.0
-0.0,0.0,128.0,0.0,1.815,0.0
-0.0,0.0,416.0,0.0,1.815,0.0
0.0,0.0,129.0,0.0,1.85,0.0
-0.0,0.0,412.0,0.0,1.85,0.0
-0.0,0.0,132.0,0.0,1.885,0.0
0.0,0.0,409.0,0.0,1.885,0.0
-0.0,0.0,133.0,0.0,1.902,0.0
-0.0,0.0,408.0,0.0,1.902,0.0
0.0,0.0,129.0,0.0,1.937,0.0
-0.0,0.0,432.0,0.0,1.937,0.0
0.0,0.0,137.0,0.0,1.972,0.0
0.0,0.0,431.0,0.0,1.972,0.0
-0.0,0.0,131.0,0.0,2.007,0.0
0.0,0.0,427.0,0.0,2.007,0.0
0.0,0.0,133.0,0.0,2.042,0.0
-0.0,0.0,428.0,0.0,2.042,0.0
0.0,0.0,136.0,0.0,2.059,0.0
-0.0,0.0,421.0,0.0,2.059,0.0
-0.0,0.0,140.0,0.0,2.094,0.0
0.0,0.0,420.0,0.0,2.094,0.0
-0.0,0.0,420.0,0.0,2.129,0.0
0.0,0.0,148.0,0.0,2.164,0.0
0.0,0.0,147.0,0.0,2.199,81.00034504864777
0.0,0.0,419.0,0.0,2.199,59.9995379398875
-0.0,0.0,144.0,0.0,2.217,58.00032556805177
0.0,0.0,425.0,0.0,2.217,92.9996389294066
-0.0,0.0,419.0,0.0,2.251,99.00032104998448
0.0,0.0,155.0,0.0,2.286,92.00004421738068
-0.0,0.0,416.0,0.0,2.286,94.00026962727287
-0.0,0.0,160.0,0.0,2.321,104.99995950951602
0.0,0.0,420.0,0.0,2.321,102.99974030064348
-0.0,0.0,161.0,0.0,2.356,107.00017910732673
-0.0,0.0,420.0,0.0,2.356,115.99965269775595
0.0,0.0,173.0,0.0,2.374,94.99988223150594
-0.0,0.0,422.0,0.0,2.374,97.99969588728324
-0.0,0.0,425.0,0.0,2.409,109.00040223778991
0.0,0.0,176.0,0.0,2.443,97.00010491746903
-0.0,0.0,184.0,0.0,2.478,89.99982321649304
-0.0,0.0,0.0,0.0,2.513,97.00010095871035
0.0,0.0,184.0,0.0,2.531,102.00012223522087
0.0,0.0,182.0,0.0,2.566,97.00008899995916
-0.0,0.0,171.0,0.0,2.601,184.00008470106746
0.0,0.0,0.0,0.0,2.601,186.9999301122864
-0.0,0.0,173.0,0.0,2.635,189.00013564280846
0.0,0.0,164.0,0.0,2.67,189.00011626716
0.0,0.0,165.0,0.0,2.688,191.99997222395635
-0.0,0.0,0.0,0.0,2.688,194.00019720866266
0.0,0.0,156.0,0.0,2.723,307.9996370598511
0.0,0.0,0.0,0.0,2.723,286.0002186240423
-0.0,0.0,154.0,0.0,2.758,278.0003571670368
0.0,0.0,0.0,0.0,2.758,260.99999079118754
-0.0,0.0,143.0,0.0,2.793,242.00041596865077
0.0,0.0,0.0,0.0,2.793,232.00031204073844
0.0,0.0,141.0,0.0,2.827,217.99980235541497
-0.0,0.0,0.0,0.0,2.827,212.0001378325024
0.0,0.0,139.0,0.0,2.845,204.99988145118522
-0.0,0.0,0.0,0.0,2.845,192.9995806757103
0.0,0.0,139.0,0.0,2.88,189.00014014015966
0.0,0.0,0.0,0.0,2.88,179.99963604685425
-0.0,0.0,138.0,0.0,2.915,183.00047170157788
0.0,0.0,0.0,0.0,2.915,178.00043281408054
-0.0,0.0,133.0,0.0,2.95,173.00039369319367
0.0,0.0,0.0,0.0,2.95,166.9997469938203
0.0,0.0,132.0,0.0,2.985,161.00008327327038
-0.0,0.0,0.0,0.0,2.985,156.9996474295404
0.0,0.0,128.0,0.0,3.002,155.00043150907678
-0.0,0.0,0.0,0.0,3.002,153.99981666222854
0.0,0.0,131.0,0.0,3.037,146.99954905373008
0.0,0.0,0.0,0.0,3.037,141.99952068228964
-0.0,0.0,130.0,0.0,3.072,141.99949835826888
0.0,0.0,0.0,0.0,3.072,135.99984388961627
-0.0,0.0,131.0,0.0,3.107,135.99985836389683
0.0,0.0,0.0,0.0,3.107,130.00017423449862
-4.642,0.0,132.919,0.035,3.142,132.00039933651715
0.0,0.0,0.0,0.035,3.142,132.00040225696281
4.534,0.158,129.921,0.035,3.107,130.00017277680826
-0.0,0.0,0.0,0.035,3.107,128.99958178614378
4.456,0.312,127.922,0.035,3.072,122.99993371136425
-0.0,0.0,0.0,0.035,3.072,127.9999611796816
4.443,0.467,127.922,0.035,3.037,120.99970090872127
0.0,0.0,0.0,0.035,3.037,120.9996997723548
-4.389,0.617,126.923,0.035,3.002,117.00027294839957
0.0,0.0,0.0,0.035,3.002,122.00030049143321
-4.331,0.764,125.923,0.035,2.967,120.00011122494845
0.0,0.0,0.0,0.035,2.967,120.00010448745451
4.659,0.906,135.917,0.035,2.95,117.00028335863124
-0.0,0.0,0.0,0.035,2.95,120.0001053916204
4.523,1.044,132.919,0.035,2.915,115.00006213911365
-0.0,0.0,0.0,0.035,2.915,117.0002736791671
4.719,1.265,139.915,0.035,2.88,114.00044630614391
0.0,0.0,0.0,0.035,2.88,115.00003982608007
-4.439,1.357,132.919,0.035,2.845,120.00011012494947
0.0,0.0,0.0,0.035,2.845,94.00026743047063
-6.006,2.068,181.889,0.035,2.81,119.00050320902008
0.0,0.0,0.0,0.035,2.81,112.99984075652496
4.69,1.707,142.913,0.035,2.793,115.00004772607706
-0.0,0.0,0.0,0.035,2.793,120.00008827496754
4.595,1.856,141.913,0.035,2.758,115.00003918694985
-0.0,0.0,0.0,0.035,2.758,125.00014649991417
4.24,1.888,132.919,0.035,2.723,125.99977162677716
-0.0,0.0,0.0,0.035,2.723,128.99958577452873
-4.611,2.249,146.91,0.035,2.688,127.99997406640362
0.0,0.0,0.0,0.035,2.688,127.9999582968682
-4.591,2.441,148.909,0.035,2.653,131.99955662046747
0.0,0.0,0.0,0.035,2.653,446.99983813084316
-4.762,2.639,155.905,0.035,2.635,450.9996368435345
-0.0,0.0,0.0,0.035,2.635,455.9997705986265
4.727,2.84,157.904,0.035,2.601,459.99950415734145
-0.0,0.0,0.0,0.035,2.601,459.9995463595589
4.742,3.079,161.901,0.035,2.566,453.0004873672875
-0.0,0.0,0.0,0.035,2.566,457.0002438445739
-4.717,3.303,164.899,0.035,2.531,464.99971512464396
2.316,1.621,80.951,0.035,2.531,444.9999649348301
-4.766,3.592,170.896,0.035,2.496,443.9995717903341
1.672,1.26,59.963,0.035,2.496,322.99980709746563
4.813,3.76,174.893,0.035,2.478,290.9998514277971
-1.595,1.246,57.965,0.035,2.478,265.9999402048805
4.438,3.724,165.899,0.035,2.443,262.99968868992977
2.486,2.086,92.943,0.035,2.443,246.00023683321933
-4.461,4.017,171.895,0.035,2.409,116.99998756837542
2.568,2.312,98.94,0.035,2.409,218.0000369128409
-4.218,4.073,167.898,0.035,2.374,214.99975752544466
-2.31,2.23,91.944,0.035,2.374,205.99977121831955
3.855,3.992,158.903,0.035,2.339,122.99959864162159
-2.279,2.36,93.943,0.035,2.339,125.99991059123812
-3.594,3.854,150.908,0.035,2.321,125.00047059511417
2.499,2.68,104.936,0.035,2.321,127.99978545685146
-3.389,3.898,147.91,0.035,2.286,132.9999989511278
2.358,2.713,102.937,0.035,2.286,138.99963561822744
3.141,3.878,142.913,0.035,2.251,156.00002038461406
-2.35,2.902,106.935,0.035,2.251,145.0002240653441
2.94,3.902,139.915,0.035,2.217,152.99971774483768
-2.436,3.233,115.929,0.035,2.217,141.0004630949842
-2.742,3.917,136.917,0.035,2.182,173.0004016469326
1.902,2.716,94.942,0.035,2.182,182.00034910406077
-2.654,3.935,135.917,0.035,2.164,182.9997492675878
-1.913,2.835,97.94,0.035,2.164,202.00007180444268
2.386,3.818,128.921,0.035,2.129,225.0000757022095
-2.016,3.226,108.934,0.035,2.129,242.00051339408353
2.338,4.05,133.918,0.035,2.094,297.00045539695725
1.693,2.932,96.941,0.035,2.094,187.99995006648274
-2.179,4.098,132.919,0.035,2.059,102.99992665045932
1.475,2.773,89.945,0.035,2.059,94.00001767553026
1.958,4.015,127.922,0.035,2.025,141.99992139434443
-1.484,3.043,96.941,0.035,2.025,150.00041352942998
1.858,3.985,125.923,0.035,2.007,159.9997482123019
-1.504,3.226,101.938,0.035,2.007,166.00033959302613
-1.759,4.144,128.921,0.035,1.972,63.0004977996206
1.323,3.116,96.941,0.035,1.972,60.999600080656265
-1.538,4.008,122.925,0.035,1.937,97.00027268518372
-2.301,5.995,183.888,0.035,1.937,95.00039024130375
1.352,3.927,118.928,0.035,1.902,0.0
-2.125,6.171,186.886,0.035,1.902,0.0
1.245,4.072,121.926,0.035,1.868,0.0
1.928,6.308,188.885,0.035,1.868,0.0
-1.241,4.328,128.921,0.035,1.85,0.0
1.818,6.34,188.885,0.035,1.85,0.0
0.988,3.962,116.929,0.035,1.815,0.0
-1.621,6.502,191.883,0.035,1.815,0.0
0.834,3.926,114.93,0.035,1.78,0.0
-1.408,6.623,193.882,0.035,1.78,0.0
-0.727,4.124,119.927,0.035,1.745,0.0
1.867,10.586,307.812,0.035,1.745,0.0
-0.568,4.044,116.929,0.035,1.71,0.0
-1.389,9.884,285.826,0.035,1.71,0.0
0.455,3.706,106.935,0.035,1.693,0.0
-1.182,9.63,277.831,0.035,1.693,0.0
0.332,3.79,108.934,0.035,1.658,0.0
0.794,9.074,260.841,0.035,1.658,0.0
-0.214,4.078,116.929,0.035,1.623,0.0
0.442,8.434,241.853,0.035,1.623,0.0
0.071,4.083,116.929,0.035,1.588,0.0
-0.141,8.095,231.859,0.035,1.588,0.0
-0.071,4.083,116.929,0.035,1.553,0.0
0.133,7.607,217.867,0.035,1.553,0.0
0.14,4.011,114.93,0.035,1.536,0.0
-0.258,7.394,211.871,0.035,1.536,0.0
0.285,4.073,116.929,0.035,1.501,0.0
0.499,7.137,204.875,0.035,1.501,0.0
-0.42,3.991,114.93,0.035,1.466,0.0
0.704,6.699,192.882,0.035,1.466,0.0
-0.544,3.871,111.932,0.035,1.431,0.0
-0.918,6.532,188.885,0.035,1.431,0.0
0.733,4.159,120.926,0.035,1.396,0.0
-1.091,6.186,179.89,0.035,1.396,0.0
-0.806,4.145,120.926,0.035,1.379,178.00008508424932
1.219,6.269,182.889,0.035,1.379,187.9998319467334
-0.919,3.979,116.929,0.035,1.344,191.00037347869244
1.397,6.053,177.892,0.035,1.344,187.99992351062272
1.075,4.012,118.928,0.035,1.309,183.9999967744565
-1.563,5.832,172.895,0.035,1.309,166.99983637716537
1.235,4.038,120.926,0.035,1.274,168.0003256693272
1.704,5.574,166.898,0.035,1.274,162.99993978526496
-1.329,3.861,116.929,0.035,1.239,160.00045951184015
1.829,5.313,160.902,0.035,1.239,157.00010095538155
-1.48,4.067,123.924,0.035,1.222,147.99970079023808
-1.874,5.149,156.904,0.035,1.222,143.99983445129374
1.582,3.915,120.926,0.035,1.187,143.99980007625012
-2.026,5.016,154.906,0.035,1.187,183.00050410859527
-1.789,4.017,125.923,0.035,1.152,187.00045480693356
2.186,4.91,153.906,0.035,1.152,180.99954610164082
-1.989,4.078,129.921,0.035,1.117,132.0000905870901
2.249,4.611,146.91,0.035,1.117,128.999667588719
2.163,4.068,131.92,0.035,1.082,128.00017927331197
-2.327,4.376,141.913,0.035,1.082,124.00025705618516
2.149,3.877,126.923,0.035,1.065,122.00034631508224
2.403,4.334,141.913,0.035,1.065,126.99970596816355
-2.337,3.889,129.921,0.035,1.03,264.9997353300565
2.445,4.068,135.917,0.035,1.03,126.99971168864911
-2.49,3.834,130.92,0.035,0.995,120.99985010734517
-2.585,3.981,135.917,0.035,0.995,199.00011644468955
2.682,3.831,133.918,0.035,0.96,126.99974740526062
-2.602,3.716,129.921,0.035,0.96,128.99972267024452
-3.024,4.014,143.912,0.035,0.925,132.00011416282942
2.772,3.679,131.92,0.035,0.925,136.99951067795826
-3.116,3.988,144.912,0.035,0.908,136.99948710122968
2.836,3.63,131.92,0.035,0.908,143.99987187841523
3.343,3.983,148.909,0.035,0.873,132.99958143167217
-2.916,3.475,129.921,0.035,0.873,157.99951384735334
3.713,4.124,158.903,0.035,0.838,155.9995783007121
3.012,3.346,128.921,0.035,0.838,126.00027782905877
-3.855,3.992,158.903,0.035,0.803,124.00031464879433
2.982,3.088,122.925,0.035,0.803,180.00010428052536
-4.167,4.024,165.899,0.035,0.768,185.0004350643533
-3.213,3.103,127.922,0.035,0.768,120.99985293379493
4.237,3.951,165.899,0.035,0.75,122.00038554857112
-3.088,2.88,120.926,0.035,0.75,118.999886764652
4.662,4.053,176.892,0.035,0.716,116.99994924357873
3.187,2.77,120.926,0.035,0.716,235.99983877325
-5.126,4.151,188.885,0.035,0.681,233.99990859399924
3.173,2.57,116.929,0.035,0.681,118.99990215542196
